pahmaaltnumber,pahmaaltnumgroup,pahmaaltnumtype
objecttype,collectionobjects_common,collection
productionplacerole,objectproductionplacegroup,bjectproductionplacerole
prodcultgrouprole,objectproductionpeoplegroup,objectproductionpeoplerole
prodpersonrole,objectproductionpersongroup,objectproductionpersonrole
assocpeople,assocpeoplegroup,assocpeopletype
accaquisitionmethod,acquisitions_common,acquisitionmethod
movementmethod,movements_common_movementmethods,item
annotationtype,annotationgroup,annotationtype
depictedscripttype,collectionobjects_common_contentscripts,item
inscriptiontype,textualinscriptiongroup,inscriptioncontenttype
assocorgtype,assocorganizationgroup,assocorganizationtype
assocpersontype,assocpersongroup,assocpersontype
assocplacetype,assocplacegroup,assocplacetype
objexitmethod,objectexit_common_exitmethods,item
objexitreason,objectexit_common,exitreason
objentryreason,intakes_common,entryreason
